hyperparams/gamma,hyperparams/learning_rate,hyperparams/batch_size,hyperparams/n_steps,hyperparams/clip_range,hyperparams/ent_coef,hyperparams/seed,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate
0.99,0.0003,512,2048,0.2,0.01,2,,,,,,,,,,,,,,,,,
,,,,,,,582,1,181.27272727272728,3,2048,1118.8453612727271,,,,,,,,,,,
,,,,,,,546,2,180.0,7,4096,1050.4325787272728,0.221000075340271,10,-20.294445323944093,0.022323601,0.2,2845.839636230469,104.82803344726562,-0.005060553460498341,0.1578125,1285.0457763671875,0.0003
,,,,,,,524,3,177.91176470588235,11,6144,1069.8248945588236,0.8093750476837158,20,-20.300676012039183,0.012724422,0.2,1791.6574417114257,104.61380004882812,-0.00740275489515625,0.17265625,618.6404418945312,0.0003
,,,,,,,518,4,172.2340425531915,15,8192,1012.7851110425534,0.6750237047672272,30,-20.31041851043701,0.025517222,0.2,1711.8234741210938,104.69156646728516,-0.004831593064591288,0.155126953125,371.2565002441406,0.0003
,,,,,,,518,5,177.10526315789474,19,10240,1073.5448085789474,0.89711594581604,40,-20.319419860839844,0.0084019555,0.2,1719.7090057373048,104.66958618164062,-0.0046416880330070855,0.11708984375,461.4869384765625,0.0003
,,,,,,,521,6,180.52238805970148,23,12288,1110.7934169104478,0.7955009341239929,50,-20.320682764053345,0.016636593,0.2,806.616828918457,104.66788482666016,0.000955652464472223,0.172998046875,146.94764709472656,0.0003
,,,,,,,518,7,181.40506329113924,27,14336,1116.7280888607595,0.947216808795929,60,-20.325906562805176,0.013745196,0.2,462.6451183319092,104.58361053466797,-0.000948885380057618,0.194287109375,151.8160858154297,0.0003
,,,,,,,519,8,181.76666666666668,31,16384,1129.2455486444442,0.9336816817522049,70,-20.337990283966064,0.032207742,0.2,423.0190818786621,104.41555786132812,-0.00035451417788863183,0.193896484375,108.34339904785156,0.0003
,,,,,,,519,9,180.51,35,18432,1127.21688163,0.7769680023193359,80,-20.34465103149414,0.016362155,0.2,834.4157455444335,104.70063018798828,0.0001799749123165384,0.183447265625,202.9518585205078,0.0003
,,,,,,,521,10,180.93,39,20480,1125.6177191300003,0.8468105494976044,90,-20.345450353622436,0.01057928,0.2,1017.1091583251953,104.69103240966797,0.0007207435439340771,0.15322265625,172.6780242919922,0.0003
,,,,,,,523,11,181.72,43,22528,1134.3089842400002,0.9290861189365387,100,-20.34242148399353,0.012810848,0.2,306.6567581176758,104.79251098632812,-0.0028041644138284026,0.16005859375,103.19390106201172,0.0003
,,,,,,,525,12,183.41,46,24576,1139.37627619,0.8999080657958984,110,-20.352662801742554,0.01562686,0.2,1271.141583251953,104.99295806884766,0.006424376298673451,0.297509765625,398.7421569824219,0.0003
,,,,,,,526,13,188.95,50,26624,1189.7046216699998,0.9353690221905708,120,-20.35646367073059,0.009558693,0.2,249.61981315612792,105.25887298583984,-0.003995541197946295,0.083154296875,54.42957305908203,0.0003
,,,,,,,526,14,187.64,54,28672,1162.70691616,0.9252539426088333,130,-20.356733894348146,0.025718812,0.2,233.56471309661865,105.0238265991211,-0.002693578996695578,0.183984375,143.28616333007812,0.0003
,,,,,,,527,15,186.23,58,30720,1140.61449488,0.8817960023880005,140,-20.352058124542236,0.012319012,0.2,1001.5141906738281,104.99270629882812,0.00987698528333567,0.321533203125,242.20309448242188,0.0003
,,,,,,,528,16,186.37,61,32768,1137.5551974,0.9023618847131729,150,-20.35011706352234,0.00776181,0.2,457.31900177001955,105.07884979248047,-0.0014478858560323716,0.210693359375,78.96859741210938,0.0003
,,,,,,,529,17,186.52,65,34816,1131.55323881,0.8469260632991791,160,-20.354212760925293,0.008272777,0.2,564.7473997116089,105.06572723388672,-0.004487511340994388,0.07431640625,169.1710205078125,0.0003
,,,,,,,530,18,189.6,69,36864,1133.0640874700005,0.9049403071403503,170,-20.36282057762146,0.015954632,0.2,658.4538360595703,105.69454956054688,-0.002877966727828607,0.177490234375,255.51980590820312,0.0003
,,,,,,,532,19,191.24,73,38912,1145.2992875099997,0.935834564268589,180,-20.377695560455322,0.006951448,0.2,126.66291084289551,105.76102447509766,0.0006143708946183324,0.18310546875,34.91651153564453,0.0003
,,,,,,,532,20,187.98,76,40960,1118.9734945700002,0.9291625320911407,190,-20.38506488800049,0.009809217,0.2,241.59181118011475,105.87932586669922,-0.0032973027555271983,0.1353515625,79.85132598876953,0.0003
,,,,,,,530,21,184.1,81,43008,1084.83232104,0.9570283405482769,200,-20.39177269935608,0.014799366,0.2,379.7421501159668,106.10175323486328,-0.006158129032701254,0.1365234375,124.8653793334961,0.0003
,,,,,,,531,22,184.1,84,45056,1088.5540436099998,0.872294157743454,210,-20.39221978187561,0.0071871905,0.2,2472.4300994873047,106.18965911865234,0.00018253845046274365,0.176611328125,1058.7080078125,0.0003
,,,,,,,531,23,183.69,88,47104,1084.1099847499997,0.9160576537251472,220,-20.391212224960327,0.020346079,0.2,476.52143478393555,106.62405395507812,0.0016934996587224306,0.239208984375,202.06732177734375,0.0003
,,,,,,,531,24,183.1,92,49152,1074.8780583500002,0.9641046486794949,230,-20.38868021965027,0.02684001,0.2,88.41668667793274,107.13262939453125,0.00408818461582996,0.246923828125,17.667606353759766,0.0003
,,,,,,,531,25,183.46,96,51200,1084.14892589,0.9536202326416969,240,-20.39443907737732,0.0170943,0.2,529.9701080322266,107.35050201416016,0.019499632169026882,0.4251953125,151.91275024414062,0.0003
,,,,,,,531,26,182.0,100,53248,1073.6915969899999,0.9787150658667088,250,-20.403307485580445,0.08936279,0.2,120.94592361450195,107.84982299804688,-0.003030623818631284,0.1900390625,15.893342971801758,0.0003
,,,,,,,529,27,171.78,104,55296,989.6023929899999,0.8245478272438049,260,-20.423182582855226,2.819027,0.2,1495.188949584961,108.0262680053711,0.12212893947726115,0.884375,519.85791015625,0.0003
,,,,,,,528,28,170.19,108,57344,960.5290713800001,0.8352648317813873,270,-20.429475831985474,0.005531431,0.2,1569.8052772521974,108.10488891601562,-0.0037081901857163755,0.035595703125,116.86360168457031,0.0003
