hyperparams/seed,hyperparams/ent_coef,hyperparams/gamma,hyperparams/learning_rate,hyperparams/batch_size,hyperparams/n_steps,hyperparams/clip_range,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/entropy_loss,train/value_loss,train/clip_range,train/std,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
2,0.01,0.99,5e-05,512,2048,0.2,,,,,,,,,,,,,,,,,
,,,,,,,1,2048,278.71296442857147,93.66666666666667,10,193,,,,,,,,,,,
,,,,,,,2,4096,295.34473647727276,92.45454545454545,16,253,-8.513151550292969,2410.041296386719,0.2,0.9997765421867371,0.006671589,10,1156.036865234375,5e-05,0.001251518726348877,-0.004864826059201732,0.029736328125
,,,,,,,3,6144,318.32435676923075,94.33846153846154,21,280,-8.512126231193543,2748.2573303222657,0.2,0.9997816681861877,0.0018430528,20,1298.5966796875,5e-05,0.006806790828704834,-0.0015247532341163606,9.765625e-05
,,,,,,,4,8192,321.39257758620687,93.6896551724138,27,296,-8.512085151672363,3212.6611572265624,0.2,0.9996684193611145,0.0026929907,30,1730.960693359375,5e-05,-0.0010422468185424805,-0.002313592709833756,0.0009765625
,,,,,,,5,10240,328.54226181999996,93.13,33,308,-8.51127769947052,3045.324114990234,0.2,0.9995656609535217,0.004550089,40,1585.6427001953125,5e-05,0.002518296241760254,-0.002984389051562175,0.005126953125
,,,,,,,6,12288,329.60481082999996,93.17,38,315,-8.51118860244751,3038.637872314453,0.2,0.9996314644813538,0.004427896,50,1521.5430908203125,5e-05,0.003158092498779297,-0.002665686554973945,0.00546875
,,,,,,,7,14336,334.17149401999995,93.27,44,320,-8.511703634262085,2994.6919067382814,0.2,0.9997649788856506,0.0021704552,60,1512.2532958984375,5e-05,0.0026148557662963867,-0.0017797658336348831,0.000537109375
,,,,,,,8,16384,332.77323205,91.6,50,325,-8.512547469139099,3278.4124267578127,0.2,0.9998684525489807,0.004786618,70,1616.93505859375,5e-05,0.008571982383728027,-0.0034349971974734217,0.008203125
,,,,,,,9,18432,338.16128864999996,92.85,55,330,-8.512811160087585,3392.6725952148436,0.2,0.999845027923584,0.001371857,80,1734.1025390625,5e-05,0.0002034902572631836,-0.001492629514541477,0.00078125
,,,,,,,10,20480,347.95615920000006,94.28,61,334,-8.512943959236145,2992.3661987304686,0.2,0.9999611377716064,0.0013889002,90,1476.9637451171875,5e-05,0.0032519102096557617,-0.0016748903726693243,0.0
,,,,,,,11,22528,346.66988116,94.85,66,336,-8.51375138759613,2776.4397521972655,0.2,1.0000723600387573,0.0005986148,100,1299.9351806640625,5e-05,0.004977822303771973,-0.0006895755825098604,4.8828125e-05
,,,,,,,12,24576,356.80475605,96.09,72,340,-8.51403865814209,2738.3051696777343,0.2,1.0000454187393188,0.0037329476,110,1331.0863037109375,5e-05,0.0015105009078979492,-0.002527035539969802,0.00361328125
,,,,,,,13,26624,360.83469723,97.45,77,342,-8.514212775230408,3513.6758361816405,0.2,1.0001980066299438,0.0015340578,120,1724.4261474609375,5e-05,0.00030559301376342773,-0.0012506139319157228,0.0001953125
,,,,,,,14,28672,355.88929748000004,97.24,83,344,-8.515827631950378,2670.598699951172,0.2,1.0005607604980469,0.0028249777,130,1323.82568359375,5e-05,0.00047343969345092773,-0.002675552450818941,0.0013671875
,,,,,,,15,30720,354.68682723999996,97.3,88,346,-8.519477200508117,2662.797509765625,0.2,1.00150728225708,0.0018226053,140,1278.1121826171875,5e-05,0.00026679039001464844,-0.0017059561738278716,9.765625e-05
,,,,,,,16,32768,347.7869217199999,97.08,94,348,-8.525494384765626,2607.022296142578,0.2,1.0024504661560059,0.002620216,150,1311.520751953125,5e-05,0.0011244416236877441,-0.001614983956096694,0.00107421875
,,,,,,,17,34816,335.2341957700001,95.29,99,349,-8.530471158027648,2434.46669921875,0.2,1.0031344890594482,0.0056280796,160,1190.9139404296875,5e-05,0.0008803606033325195,-0.003854178806068376,0.01240234375
,,,,,,,18,36864,330.91654927999997,94.05,105,350,-8.533123326301574,3009.6213928222655,0.2,1.0033345222473145,0.0045456938,170,1426.32861328125,5e-05,0.0005979537963867188,-0.0030979123461293057,0.0109375
,,,,,,,19,38912,337.10218495000004,95.2,110,351,-8.533325433731079,2703.0363708496093,0.2,1.0031954050064087,0.0013951699,180,1304.2685546875,5e-05,0.0006281137466430664,-0.001384964506723918,0.0
,,,,,,,20,40960,341.04680022,94.86,115,353,-8.533453440666198,2641.2369018554687,0.2,1.0034891366958618,0.00739865,190,1339.7264404296875,5e-05,0.0019699931144714355,-0.005627673043636605,0.027880859375
,,,,,,,21,43008,348.99298144,94.4,121,353,-8.535773730278015,3421.092315673828,0.2,1.0039291381835938,0.0029317087,200,1826.21484375,5e-05,0.00019747018814086914,-0.002433401392772794,0.0017578125
,,,,,,,22,45056,357.4091475799999,96.04,126,354,-8.53829619884491,3293.5451171875,0.2,1.0043445825576782,0.00058696454,210,1654.6627197265625,5e-05,0.0005788207054138184,-0.0005858175281900913,0.0
,,,,,,,23,47104,361.64110544999994,96.53,132,354,-8.5392897605896,3140.597546386719,0.2,1.0041121244430542,0.0033928822,220,1565.3568115234375,5e-05,0.0003771185874938965,-0.0025405639957170934,0.0025390625
,,,,,,,24,49152,360.22914061000006,96.14,138,354,-8.53779845237732,2744.442236328125,0.2,1.0040003061294556,0.00207118,230,1342.824951171875,5e-05,0.0004788637161254883,-0.002004712767666206,0.00048828125
,,,,,,,25,51200,365.71720237,96.99,144,354,-8.538426423072815,2985.6748291015624,0.2,1.0043857097625732,0.0007870375,240,1499.275390625,5e-05,0.0009558796882629395,-0.000850987690500915,0.0
,,,,,,,26,53248,368.50266328000004,98.05,149,355,-8.540395832061767,2934.7329650878905,0.2,1.004517674446106,0.0029559885,250,1437.5904541015625,5e-05,0.00045990943908691406,-0.002248115016845986,0.001806640625
,,,,,,,27,55296,368.99871466,98.22,155,355,-8.541794037818908,2902.576220703125,0.2,1.0049686431884766,0.004592199,260,1373.2191162109375,5e-05,0.00030350685119628906,-0.003834972289041616,0.006005859375
,,,,,,,28,57344,364.68027375,97.46,161,355,-8.544197463989258,3171.2648498535154,0.2,1.0052279233932495,0.0045354757,270,1492.5733642578125,5e-05,0.0006718635559082031,-0.003762610862031579,0.006787109375
